% CFC12 concentrations in atmosphere (vol/vol). Data source:
% John Bullister, NOAA, http://cdiac.ornl.gov/oceans/new_atmCFC.html
%
% Column 1: decimal year (1975.0 corresponds to 1. Jan. 1975)
% Column 2: northern hemisphere
% Column 3: southern hemisphere
% Column 4: global mean
 1.99700000e+03 5.38700000e-10 5.28650000e-10 5.33675000e-10
 1.99750000e+03 5.40100000e-10 5.30800000e-10 5.35450000e-10
 1.99800000e+03 5.41500000e-10 5.32550000e-10 5.37025000e-10
 1.99850000e+03 5.42900000e-10 5.34300000e-10 5.38600000e-10
 1.99900000e+03 5.43650000e-10 5.35750000e-10 5.39700000e-10
 1.99950000e+03 5.44400000e-10 5.37200000e-10 5.40800000e-10
 2.00000000e+03 5.45150000e-10 5.38100000e-10 5.41625000e-10
 2.00050000e+03 5.45900000e-10 5.39000000e-10 5.42450000e-10
 2.00100000e+03 5.46200000e-10 5.39800000e-10 5.43000000e-10
 2.00150000e+03 5.46500000e-10 5.40600000e-10 5.43550000e-10
 2.00200000e+03 5.46600000e-10 5.40950000e-10 5.43775000e-10
 2.00250000e+03 5.46700000e-10 5.41300000e-10 5.44000000e-10
 2.00300000e+03 5.46700000e-10 5.41450000e-10 5.44075000e-10
 2.00350000e+03 5.46700000e-10 5.41600000e-10 5.44150000e-10
 2.00400000e+03 5.46200000e-10 5.41550000e-10 5.43875000e-10
 2.00450000e+03 5.45700000e-10 5.41500000e-10 5.43600000e-10
 2.00500000e+03 5.45100000e-10 5.41200000e-10 5.43150000e-10
 2.00550000e+03 5.44500000e-10 5.40900000e-10 5.42700000e-10
 2.00600000e+03 5.43800000e-10 5.40350000e-10 5.42075000e-10
 2.00650000e+03 5.43100000e-10 5.39800000e-10 5.41450000e-10
 2.00700000e+03 5.42100000e-10 5.38950000e-10 5.40525000e-10
 2.00750000e+03 5.41100000e-10 5.38100000e-10 5.39600000e-10
 2.00800000e+03 5.39850000e-10 5.37150000e-10 5.38500000e-10
 2.00850000e+03 5.38600000e-10 5.36200000e-10 5.37400000e-10
 2.00900000e+03 5.37620000e-10 5.35120000e-10 5.36370000e-10
 2.00950000e+03 5.36640000e-10 5.34040000e-10 5.35340000e-10
 2.01000000e+03 5.35605000e-10 5.33210000e-10 5.34407500e-10
 2.01050000e+03 5.34570000e-10 5.32380000e-10 5.33475000e-10
 2.01100000e+03 5.33530000e-10 5.31550000e-10 5.32540000e-10
 2.01150000e+03 5.32490000e-10 5.30720000e-10 5.31605000e-10
